"wbs";"id";"name";"start";"end";"duration";"effort";"effortdone";"effortleft";"priority";"responsible";"resources";"status";"active_sub_tasks";"open_sub_tasks";"closed_sub_tasks";"complete";"followers";"depends_on";"path_criticalness";"schedule_gauge";"cost"
"4.12.3.4.5";"task5.task1132.task1147.task1163.task1168";"        کفسازی سرویس بهداشتی بلوک 8";"2018-03-03";"2018-03-03";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"90347520,00"
"4.12.3.5";"task5.task1132.task1147.task1169";"      تاسیسات مکانیکی فاز 2";"2018-04-21";"2018-05-11";20.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.3.5.1";"task5.task1132.task1147.task1169.task1170";"        نصب شیرآلات و تجهیزات بهداشتی سرویس بهداشتی بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.3.5.2";"task5.task1132.task1147.task1169.task1171";"        نصب دمپر و فایر دمپر سرویس بهداشتی بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.3.5.3";"task5.task1132.task1147.task1169.task1172";"        نصب دریچه هوا سرویس بهداشتی بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.3.5.4";"task5.task1132.task1147.task1169.task1173";"        تست تاسیسات مکانیکی سرویس بهداشتی بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.3.6";"task5.task1132.task1147.task1174";"      تاسیسات برقی فاز 2";"2018-05-05";"2018-05-11";6.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.3.6.1";"task5.task1132.task1147.task1174.task1175";"        نصب کلید و پریز سرویس بهداشتی بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.3.6.2";"task5.task1132.task1147.task1174.task1176";"        نصب تجهیزات صوت سرویس بهداشتی بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.3.6.3";"task5.task1132.task1147.task1174.task1177";"        نصب تجهیزات روشنایی سرویس بهداشتی بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.4";"task5.task1132.task1178";"    فودکورت";"2017-07-24";"2018-05-11";291.0;0.0;0.0;0.0;500;"";"";"in progress";20;0;20;"59%";"";"";1.0;"behind schedule";"19356945080,00"
"4.12.4.1";"task5.task1132.task1178.task1179";"      سفتکاری";"2017-10-15";"2017-10-29";14.0;0.0;0.0;0.0;500;"";"";"done";1;0;1;"100%";"";"";1.0;"on schedule";"1740024000,00"
